timestamp,object_x,object_y,error_th,error_x,th_set,x_set,left_vel,right_vel,object_found,robot_x,robot_y,robot_theta
7.90013,0,0,45,45,0,0,0,0,0,0,0,0
7.92013,0,0,45,45,0,0,0,0,0,0,0,0
7.94012,0,0,45,45,0,0,0,0,0,0,0,0
7.96015,0,0,45,45,0,0,0,0,0,0,0,0
7.98012,0,0,45,45,0,0,0,0,0,0,0,0
8.00013,0,0,45,45,0,0,0,0,0,0,0,0
8.02017,0,0,45,45,0,0,0,0,0,0,0,0
8.04022,0,0,45,45,0,0,0,0,0,0,0,0
8.06012,0,0,45,45,0,0,0,0,0,0,0,0
8.08012,0,0,45,45,0,0,0,0,0,0,0,0
8.10014,0,0,45,45,0,0,0,0,0,0,0,0
8.12013,0,0,45,45,0,0,0,0,0,0,0,0
8.14012,0,0,45,45,0,0,0,0,0,0,0,0
8.16016,0,0,45,45,0,0,0,0,0,0,0,0
8.18013,0,0,45,45,0,0,0,0,0,0,0,0
8.20013,0,0,45,45,0,0,0,0,0,0,0,0
8.22012,0,0,45,45,0,0,0,0,0,0,0,0
8.24013,0,0,45,45,0,0,0,0,0,0,0,0
8.26014,0,0,45,45,0,0,0,0,0,0,0,0
8.28018,0,0,45,45,0,0,0,0,0,0,0,0
8.30015,0,0,45,45,0,0,0,0,0,0,0,0
8.32011,0,0,45,45,0,0,0,0,0,0,0,0
8.34013,0,0,45,45,0,0,0,0,0,0,0,0
8.36012,0,0,45,45,0,0,0,0,0,0,0,0
8.38013,0,0,45,45,0,0,0,0,0,0,0,0
8.40018,0,0,45,45,0,0,0,0,0,0,0,0
8.42013,0,0,45,45,0,0,0,0,0,0,0,0
8.44013,0,0,45,45,0,0,0,0,0,0,0,0
8.46013,0,0,45,45,0,0,0,0,0,0,0,0
8.48013,0,0,45,45,0,0,0,0,0,0,0,0
8.50012,0,0,45,45,0,0,0,0,0,0,0,0
8.52016,0,0,45,45,0,0,0,0,0,0,0,0
8.54012,0,0,45,45,0,0,0,0,0,0,0,0
8.56013,0,0,45,45,0,0,0,0,0,0,0,0
8.58017,0,0,45,45,0,0,0,0,0,0,0,0
8.60014,0,0,45,45,0,0,0,0,0,0,0,0
8.62017,0,0,45,45,0,0,0,0,0,0,0,0
8.64017,0,0,45,45,0,0,0,0,0,0,0,0
8.66007,0,0,45,45,0,0,0,0,0,0,0,0
8.68016,0,0,45,45,0,0,0,0,0,0,0,0
8.70014,0,0,45,45,0,0,0,0,0,0,0,0
8.72013,0,0,45,45,0,0,0,0,0,0,0,0
8.74015,0,0,45,45,0,0,0,0,0,0,0,0
8.76014,0,0,45,45,0,0,0,0,0,0,0,0
8.78017,0,0,45,45,0,0,0,0,0,0,0,0
8.80012,0,0,45,45,0,0,0,0,0,0,0,0
8.82013,0,0,45,45,0,0,0,0,0,0,0,0
8.84013,0,0,45,45,0,0,0,0,0,0,0,0
8.86012,0,0,45,45,0,0,0,0,0,0,0,0
8.88021,0,0,45,45,0,0,0,0,0,0,0,0
8.90012,0,0,45,45,0,0,0,0,0,0,0,0
8.92012,0,0,45,45,0,0,0,0,0,0,0,0
8.94032,0,0,45,45,0,0,0,0,0,0,0,0
8.96014,0,0,45,45,0,0,0,0,0,0,0,0
8.98013,0,0,45,45,0,0,0,0,0,0,0,0
9.00013,0,0,45,45,0,0,0,0,0,0,0,0
9.02012,0,0,45,45,0,0,0,0,0,0,0,0
9.04013,0,0,45,45,0,0,0,0,0,0,0,0
9.06017,0,0,45,45,0,0,0,0,0,0,0,0
9.08012,0,0,45,45,0,0,0,0,0,0,0,0
9.10013,0,0,45,45,0,0,0,0,0,0,0,0
9.12013,0,0,45,45,0,0,0,0,0,0,0,0
9.14013,0,0,45,45,0,0,0,0,0,0,0,0
9.16014,0,0,45,45,0,0,0,0,0,0,0,0
